		Result

	Value of X		Value of Y

	1.0		0
	1.01		4.93560595464e-05
	1.02		0.000195772552979
	1.03		0.000436408608121
	1.04		0.000768523907794
	1.05		0.00118947432054
	1.06		0.00169670775803
	1.07		0.00228776024553
	1.08		0.00296025219262
	1.09		0.00371188485226
	1.1		0.00454043695727
	1.11		0.00544376152368
	1.12		0.00641978281155
	1.13		0.00746649343401
	1.14		0.00858195160624
	1.15		0.00976427852653
	1.16		0.0110116558819
	1.17		0.0123223234716
	1.18		0.0136945769418
	1.19		0.0151267656256
	1.2		0.0166172904822
	1.21		0.0181646021311
	1.22		0.0197671989748
	1.23		0.021423625406
	1.24		0.0231324700952
	1.25		0.0248923643542
	1.26		0.0267019805714
	1.27		0.0285600307151
	1.28		0.0304652649029
	1.29		0.0324164700307
	1.3		0.0344124684625
	1.31		0.0364521167737
	1.32		0.0385343045486
	1.33		0.0406579532277
	1.34		0.0428220150027
	1.35		0.0450254717576
	1.36		0.0472673340523
	1.37		0.0495466401484
	1.38		0.0518624550734
	1.39		0.0542138697233
	1.4		0.0566
