		Result for h=0.002

	Value of X		Value of Y

	0.0		0.0
	0.002		5.74938658445e-06
	0.004		2.29556957878e-05
	0.006		5.15355376525e-05
	0.008		9.14061424647e-05
	0.01		0.000142485356683
	0.012		0.000204691638895
	0.014		0.000277944055796
	0.016		0.000362162278199
	0.018		0.000457266577066
	0.02		0.000563177819567
	0.022		0.000679817465159
	0.024		0.0008071075617
	0.026		0.000944970741578
	0.028		0.00109333021787
	0.03		0.00125210978053
	0.032		0.00142123379259
	0.034		0.00160062718638
	0.036		0.00179021545981
	0.038		0.00198992467263
	0.04		0.00219968144274
	0.042		0.00241941294252
	0.044		0.00264904689517
	0.046		0.00288851157108
	0.048		0.00313773578428
	0.05		0.00339664888876
	0.052		0.00366518077501
	0.054		0.00394326186645
	0.056		0.00423082311589
	0.058		0.00452779600208
	0.06		0.00483411252626
	0.062		0.00514970520864
	0.064		0.00547450708507
	0.066		0.00580845170357
	0.068		0.00615147312099
	0.07		0.00650350589965
	0.072		0.00686448510397
	0.074		0.00723434629723
	0.076		0.00761302553819
	0.078		0.0080004593779
	0.08		0.0083965848564
	0.082		0.00880133949949
	0.084		0.00921466131555
	0.086		0.00963648879236
	0.088		0.0100667608939
	0.09		0.0105054170572
	0.092		0.0109523971892
	0.094		0.0114076416638
	0.096		0.0118710913185
	0.098		0.0123426874516
	0.1		0.0128223718191
	0.102		0.0133100866313
	0.104		0.0138057745504
	0.106		0.0143093786872
	0.108		0.0148208425979
	0.11		0.0153401102818
	0.112		0.0158671261777
	0.114		0.0164018351612
	0.116		0.0169441825421
	0.118		0.0174941140611
	0.12		0.0180515758872
	0.122		0.0186165146148
	0.124		0.019188877261
	0.126		0.0197686112626
	0.128		0.0203556644732
	0.13		0.020949985161
	0.132		0.0215515220055
	0.134		0.0221602240948
	0.136		0.0227760409235
	0.138		0.0233989223891
	0.14		0.0240288187901
	0.142		0.0246656808229
	0.144		0.0253094595792
	0.146		0.0259601065437
	0.148		0.026617573591
	0.15		0.0272818129834
	0.152		0.0279527773682
	0.154		0.0286304197752
	0.156		0.0293146936139
	0.158		0.0300055526713
	0.16		0.0307029511093
	0.162		0.0314068434621
	0.164		0.0321171846338
	0.166		0.0328339298961
	0.168		0.0335570348854
	0.17		0.034286455601
	0.172		0.0350221484021
	0.174		0.0357640700058
	0.176		0.0365121774846
	0.178		0.037266428264
	0.18		0.0380267801202
	0.182		0.0387931911777
	0.184		0.039565619907
	0.186		0.0403440251224
	0.188		0.0411283659797
	0.19		0.0419186019735
	0.192		0.0427146929358
	0.194		0.0435165990329
	0.196		0.0443242807637
	0.198		0.0451376989573
	0.2		0.0459568147708
	0.202		0.0467815896869
