		Result for h=0.0314159265359

	Value of X		Value of Y

	0.0		0.5
	0.01		0.540572619992
	0.02		0.57991316566
	0.03		0.61802631508
	0.04		0.654919513883
	0.05		0.690602700517
	0.06		0.72508804346
	0.07		0.758389690939
	0.08		0.790523533532
	0.09		0.821506979852
	0.1		0.851358745369
	0.11		0.880098654325
	0.12		0.90774745455
	0.13		0.934326644935
	0.14		0.959858315215
	0.15		0.98436499767
	0.16		1.00786953029
	0.17		1.03039493091
	0.18		1.05196428184
	0.19		1.07260062439
	0.2		1.09232686282
	0.21		1.11116567705
	0.22		1.12913944379
	0.23		1.14627016524
	0.24		1.16257940514
	0.25		1.17808823146
	0.26		1.19281716521
	0.27		1.20678613503
	0.28		1.22001443696
	0.29		1.23252069899
	0.3		1.24432285001
	0.31		1.25543809263
	0.32		1.26588287965
	0.33		1.27567289371
	0.34		1.28482302985
	0.35		1.2933473806
	0.36		1.30125922338
	0.37		1.30857100994
	0.38		1.3152943575
	0.39		1.32144004149
	0.4		1.32701798957
	0.41		1.33203727683
	0.42		1.33650612196
	0.43		1.34043188416
	0.44		1.34382106084
	0.45		1.34667928578
	0.46		1.3490113278
	0.47		1.35082108974
	0.48		1.35211160778
	0.49		1.35288505092
	0.5		1.35314272068
	0.51		1.35288505092
	0.52		1.35211160778
	0.53		1.35082108974
	0.54		1.3490113278
	0.55		1.34667928578
	0.56		1.34382106084
	0.57		1.34043188416
	0.58		1.33650612196
	0.59		1.33203727683
	0.6		1.32701798957
	0.61		1.32144004149
	0.62		1.3152943575
	0.63		1.30857100994
	0.64		1.30125922338
	0.65		1.2933473806
	0.66		1.28482302985
	0.67		1.27567289371
	0.68		1.26588287965
	0.69		1.25543809263
	0.7		1.24432285001
	0.71		1.23252069899
	0.72		1.22001443696
	0.73		1.20678613503
	0.74		1.19281716521
	0.75		1.17808823146
	0.76		1.16257940514
	0.77		1.14627016524
	0.78		1.12913944379
	0.79		1.11116567705
	0.8		1.09232686282
	0.81		1.07260062439
	0.82		1.05196428184
	0.83		1.03039493091
	0.84		1.00786953029
	0.85		0.98436499767
	0.86		0.959858315215
	0.87		0.934326644935
	0.88		0.90774745455
	0.89		0.880098654325
	0.9		0.851358745369
	0.91		0.821506979852
	0.92		0.790523533532
	0.93		0.758389690939
	0.94		0.72508804346
	0.95		0.690602700517
	0.96		0.654919513883
	0.97		0.61802631508
	0.98		0.57991316566
	0.99		0.540572619992
	1.0		0.5
