	Time 			Values

	0 		[0.0, 0.0625, 0.25, 0.5625, 1.0, 0, 0]
	1 		[0, 0.1875, 0.4375, 0.8125, 0.140625, 0.25, 0]
	2 		[0, 0.328125, 0.65625, 0.21484375, 0.390625, 0.03515625, 0]
	3 		[0, 0.4921875, 0.2431640625, 0.45703125, 0.080078125, 0.09765625, 0]
	4 		[0, 0.182373046875, 0.4658203125, 0.120849609375, 0.1875, 0.02001953125, 0]
	5 		[0, 0.349365234375, 0.13623046875, 0.257080078125, 0.04522705078125, 0.046875, 0]
	6 		[0, 0.1021728515625, 0.2801513671875, 0.0679779052734375, 0.09942626953125, 0.0113067626953125, 0]
	7 		[0, 0.210113525390625, 0.07652664184570312, 0.1446075439453125, 0.02547454833984375, 0.0248565673828125, 0]
	8 		[0, 0.057394981384277344, 0.16098403930664062, 0.038237571716308594, 0.0547943115234375, 0.0063686370849609375, 0]
	9 		[0, 0.12073802947998047, 0.04302692413330078, 0.08134174346923828, 0.014335870742797852, 0.013698577880859375, 0]
	10 		[0, 0.032270193099975586, 0.09119081497192383, 0.021508634090423584, 0.0306093692779541, 0.003583967685699463, 0]
	11 		[0, 0.06839311122894287, 0.024199023842811584, 0.04575473070144653, 0.008065134286880493, 0.007652342319488525, 0]
	12 		[0, 0.01814926788210869, 0.05141432583332062, 0.012098606675863266, 0.017177939414978027, 0.0020162835717201233, 0]
	13 		[0, 0.03856074437499046, 0.013611271977424622, 0.025737036019563675, 0.004536864347755909, 0.004294484853744507, 0]
	14 		[0, 0.010208453983068466, 0.028942963108420372, 0.006805466255173087, 0.009655122645199299, 0.0011342160869389772, 0]
	15 		[0, 0.02170722233131528, 0.007656213187146932, 0.014477082761004567, 0.0025520286289975047, 0.0024137806612998247, 0]
	16 		[0, 0.005742159890360199, 0.016284617653582245, 0.0038280747685348615, 0.00542960618622601, 0.0006380071572493762, 0]
	17 		[0, 0.012213463240186684, 0.004306596048991196, 0.008143359053065069, 0.0014355240600707475, 0.0013574015465565026, 0]
	18 		[0, 0.003229947036743397, 0.009160885099845473, 0.0021532920573008596, 0.003053890923183644, 0.0003588810150176869, 0]
	19 		[0, 0.0068706638248841045, 0.002422455802161494, 0.004580639467349101, 0.0008074837755884801, 0.000763472730795911, 0]
	20 		[0, 0.0018168418516211204, 0.005153145556732852, 0.0012112267822317335, 0.0017177644149342086, 0.00020187094389712001, 0]
	21 		[0, 0.003864859167549639, 0.0013626305495790803, 0.0025766097003838695, 0.0004542099034807734, 0.00042944110373355215, 0]
	22 		[0, 0.0010219729121843102, 0.002898672067175312, 0.0006813150650053501, 0.0009662332528961315, 0.00011355247587019335, 0]
	23 		[0, 0.002174004050381484, 0.0007664795268000901, 0.0014493429564659266, 0.00025549312315398254, 0.00024155831322403287, 0]
	24 		[0, 0.0005748596451000676, 0.001630508229944816, 0.00038323972406550944, 0.0005435044740345063, 6.387328078849563e-05, 0]
	25 		[0, 0.001222881172458612, 0.000431144704324149, 0.0008152554130120837, 0.00014371489160774908, 0.00013587611850862658, 0]
	26 		[0, 0.00032335852824311173, 0.0009171618528737158, 0.00021557234478684906, 0.00030572094213449086, 3.592872290193727e-05, 0]
	27 		[0, 0.0006878713896552868, 0.00024251889065091473, 0.0004585811698192971, 8.083962837316522e-05, 7.643023553362271e-05, 0]
	28 		[0, 0.00018188916798818604, 0.0005159037247782945, 0.0001212594439426026, 0.0001719679691050413, 2.0209907093291304e-05, 0]
	29 		[0, 0.0003869277935837209, 0.00013641687495399846, 0.0002579519080233546, 4.547229130561913e-05, 4.299199227626033e-05, 0]
	30 		[0, 0.00010231265621549884, 0.0002901958794134462, 6.820843721771396e-05, 9.67319712130339e-05, 1.1368072826404782e-05, 0]
	31 		[0, 0.00021764690956008464, 7.673449196716018e-05, 0.00014509794826313697, 2.5578163924232076e-05, 2.4182992803258474e-05, 0]
	32 		[0, 5.755086897537014e-05, 0.00016323518858737387, 3.8367245934964106e-05, 5.44117316682281e-05, 6.394540981058019e-06, 0]
	33 		[0, 0.0001224263914405304, 4.3163151695065614e-05, 8.161759589801454e-05, 1.438771721953454e-05, 1.3602932917057024e-05, 0]
	34 		[0, 3.237236377129921e-05, 9.181979478364352e-05, 2.158157583841731e-05, 3.0606598662296404e-05, 3.596929304883635e-06, 0]
