	Time 			Values

	0 		[0.0, 0.0625, 0.25, 0.5625, 1.0, 0, 0]
	1 		[0, 0.015625, 0.140625, 0.390625, 0.9609375, 0.375, 0]
	2 		[0, -0.005859375, 0.0625, 0.2255859375, 0.8203125, 0.6416015625, 0]
	3 		[0, -0.01220703125, 0.0164794921875, 0.090087890625, 0.61962890625, 0.788818359375, 0]
	4 		[0, -0.0112152099609375, -0.00347900390625, -0.0037078857421875, 0.39990234375, 0.823974609375, 0]
	5 		[0, -0.007976531982421875, -0.006351470947265625, -0.054073333740234375, 0.1955394744873047, 0.7679443359375, 0]
	6 		[0, -0.005188465118408203, -0.000995635986328125, -0.06737923622131348, 0.030384063720703125, 0.6492855548858643, 0]
	7 		[0, -0.0037668943405151367, 0.005730003118515015, -0.054705798625946045, -0.08363986015319824, 0.49835819005966187, 0]
	8 		[0, -0.0035414211452007294, 0.00972314178943634, -0.028425615280866623, -0.14553934335708618, 0.34240369498729706, 0]
	9 		[0, -0.0038714585825800896, 0.00951752532273531, 0.0005193846300244331, -0.16261457512155175, 0.20222551748156548, 0]
	10 		[0, -0.004093284602276981, 0.0056214239448308945, 0.024285432358738035, -0.14704435179010034, 0.0906886724405922, 0]
	11 		[0, -0.0037726414448115975, -0.00035459281207295135, 0.038702652222127654, -0.11251231076312251, 0.012874872409156524, 0]
	12 		[0, -0.002785156982099579, -0.006518516678625019, 0.0429580557074587, -0.07148009754018858, -0.03253596222930355, 0]
	13 		[0, -0.001274053151746557, -0.011303078340688444, 0.038709110218633214, -0.03343380698618148, -0.05120700824954838, 0]
	14 		[0, 0.00045734492877613775, -0.013793717464750443, 0.02897240415948943, -0.0041585628764551075, -0.05094293380697934, 0]
	15 		[0, 0.0020672233796759087, -0.01379533427020796, 0.017076479429892544, 0.014113596128339623, -0.03976666143390517, 0]
	16 		[0, 0.0032748343185329265, -0.011705851864014072, 0.00586990970504897, 0.021959709561702567, -0.02453239752730152, 0]
	17 		[0, 0.003919357221901454, -0.008285064741691828, -0.0027322258654313702, 0.02173754800158298, -0.010164407059837677, 0]
	18 		[0, 0.003975151009137569, -0.004402511364876904, -0.007873262177405835, 0.01654912718413018, 0.0005282752057153596, 0]
	19 		[0, 0.0035316771774627897, -0.0008270441230553605, -0.009624529292899489, 0.009393337670856027, 0.006602129098335337, 0]
	20 		[0, 0.0027521383984790123, 0.001907162010869462, -0.00870270572467738, 0.0026105386310127945, 0.008474098450322513, 0]
	21 		[0, 0.0018257085475005764, 0.003550261623166399, -0.006138160868308586, -0.002364872979784736, 0.007334525824371683, 0]
	22 		[0, 0.0009254987077296325, 0.004114607031226089, -0.0029766634200709477, -0.004992280788500732, 0.004614067000859486, 0]
	23 		[0, 0.00017979815189396323, 0.003805100216327047, -6.548482978083604e-05, -0.00543721774900959, 0.0015884449549568398, 0]
	24 		[0, -0.00034078891312040846, 0.0029294350729281264, 0.002057451177413214, -0.004301025742294611, -0.0008476229396609664, 0]
	25 		[0, -0.0006217710689563222, 0.00181209906509929, 0.003179254753194784, -0.002348272247733382, -0.002248601858106204, 0]
	26 		[0, -0.0006928406848546529, 0.0007285033038164988, 0.0033575122452749943, -0.0002879084210887171, -0.0025670534864796713, 0]
	27 		[0, -0.0006106934266180521, -0.00013312680961749497, 0.0028273114755235224, 0.0013640174619715438, -0.0020332557727680226, 0]
	28 		[0, -0.00044137921876135223, -0.0006822690766353311, 0.0019000588702896384, 0.0023374118713959816, -0.001013435281336688, 0]
	29 		[0, -0.0002457507794915978, -0.0009147263732982102, 0.000877016765054482, 0.0025922603900726863, 0.00011645299077097716, 0]
	30 		[0, -6.99722879564221e-05, -0.0008878284179148171, -9.292364955053149e-06, 0.0022585199556035733, 0.0010594373893554902, 0]
	31 		[0, 5.849933627203558e-05, -0.0006909493758003895, -0.000622219924884793, 0.0015579756561750987, 0.0016415230253679577, 0]
	32 		[0, 0.00013024317417907537, -0.0004184972901376796, -0.0009205179166106279, 0.000729958892128532, 0.0018153831400916304, 0]
	33 		[0, 0.00014999454190151647, -0.00014996703770977794, -0.0009385697827756673, -2.4647942144040202e-05, 0.0016352719396169222, 0]
	34 		[0, 0.0001312417861398596, 6.109389777769364e-05, -0.0007570839834549121, -0.0005748586176010207, 0.0012172109764086766, 0]
	35 		[0, 9.0794602382683e-05, 0.00018967159106758158, -0.00047304544872442134, -0.000867201829047442, 0.0006973362507061247, 0]
	36 		[0, 4.438700290356455e-05, 0.000235432350284745, -0.00017525701126204268, -0.0009149604463955051, 0.00019780150213680279, 0]
	37 		[0, 3.861208392080287e-06, 0.0002151265152101508, 7.121442870968548e-05, -0.0007766669017869952, -0.00019475904079571235, 0]
