	Time 			Values

	0 		[0.0, 0.0625, 0.25, 0.5625, 1.0, 0, 0]
	1 		[0, 0.0234375, 0.154296875, 0.40576171875, 0.9764404296875, 0.244110107421875, 0]
	2 		[0, 0.001220703125, 0.0845947265625, 0.2541351318359375, 0.8874053955078125, 0.43544769287109375, 0]
	3 		[0, -0.0095062255859375, 0.03987693786621094, 0.12141180038452148, 0.7524017095565796, 0.5691171586513519, 0]
	4 		[0, -0.01330256462097168, 0.016390204429626465, 0.016282662749290466, 0.5912825167179108, 0.6457981429994106, 0]
	5 		[0, -0.013688519597053528, 0.008883966132998466, -0.05744199315086007, 0.4222869359655306, 0.6706451091158669, 0]
	6 		[0, -0.013087950414046645, 0.011681731906719506, -0.10012717802601401, 0.2606386358238524, 0.6519741294323467, 0]
	7 		[0, -0.012912173100630753, 0.01950936939647363, -0.1153137679016254, 0.11773359819142115, 0.5999107628011586, 0]
	8 		[0, -0.013736822637611112, 0.028050713550214823, -0.10860356830029616, 0.0008771609922746393, 0.5251412076990825, 0]
	9 		[0, -0.015526059001686576, 0.034238305643553346, -0.08657819097590513, -0.08651968283812128, 0.43786863602716686, 0]
	10 		[0, -0.017865089831919923, 0.03631451885211734, -0.0558623270361225, -0.1444038837457826, 0.34703408558732535, 0]
	11 		[0, -0.0201712684594446, 0.03371517776025683, -0.02240025624832015, -0.17533272303805547, 0.2598216441293958, 0]
	12 		[0, -0.021864257122046128, 0.026834748290753215, 0.009025053235165108, -0.18363757486568177, 0.18143454489680083, 0]
	13 		[0, -0.022485568518134512, 0.016730880970479797, 0.035034338681599636, -0.17460361144917175, 0.11510432392240781, 0]
	14 		[0, -0.02176623257467767, 0.004818670370300451, 0.05368516537012125, -0.15374490916579595, 0.06228005614065785, 0]
	15 		[0, -0.01964778729913052, -0.0074062559220348925, 0.06434106936407186, -0.1262265351966357, 0.02293841532391669, 0]
	16 		[0, -0.016266031896484845, -0.018589615576410725, 0.06742934869903966, -0.09645818303778593, -0.00404343235101938, 0]
	17 		[0, -0.011909075962372898, -0.02767185120733256, 0.0641399901895498, -0.06786048356679783, -0.020503124198841413, 0]
	18 		[0, -0.006961460066159716, -0.03397073359664965, 0.05611236846254339, -0.04278694048045708, -0.028636968794100506, 0]
